band,date,hour_utc,tx_sign,tx_grid,tx_lat,tx_lon,rx_sign,rx_grid,rx_lat,rx_lon,distance_km,n_spots,avg_snr,worked
14,2026-07-20,6,KB7NIE,DM42,32.104,-110.792,KL7L,BP51,61.646,-149.292,4282.0,1,-16.0,True
14,2026-07-20,6,OZ1AAB,JO65,55.479,12.958,DL4ZBE,JO40,50.021,8.125,688.0,2,-11.0,True
14,2026-07-20,6,OE1ELW/8,JN66,46.604,13.458,DF9JL/QDX,JO31,51.438,6.542,736.0,2,-7.0,True
14,2026-07-20,6,PH1RAM,JO32,52.146,6.208,WESSEX,IO80,50.729,-2.625,632.0,1,-14.0,True
14,2026-07-20,6,YV4GE,FK50,10.479,-69.042,VE6JY,DO33,53.729,-112.792,6168.0,4,-22.25,True
14,2026-07-20,6,PA0PPW,JO21,51.479,4.958,SQ2WB,JO92,52.771,18.375,926.0,4,-18.25,True
14,2026-07-20,6,F6APU,JN38,48.562,7.708,PA0SLT/4,JO33,53.271,6.875,527.0,7,-3.5714285714285716,True
14,2026-07-20,6,KE8MYP,EM79,39.354,-84.375,W7WKR-2,CN98,48.354,-120.708,3047.0,1,-24.0,True
14,2026-07-20,6,K4RCC,EM85,35.354,-83.208,WA2TP,FN30,40.854,-73.042,1078.0,2,-26.5,True
14,2026-07-20,6,KH6TZ,BL11,21.312,-157.792,VK3CMZ,QF13,-36.979,143.958,8900.0,2,-17.5,True
14,2026-07-20,6,NJ9Y,EN52,42.146,-88.125,N0QDS,EN35,45.021,-93.458,535.0,2,-17.0,True
14,2026-07-20,6,M0WMG,IO95,55.021,-1.625,DL0PTB,JO52,52.312,10.458,850.0,2,-6.5,True
14,2026-07-20,6,G7WCI,IO91,51.438,-0.208,G4HZX,IO91,51.438,-0.042,12.0,1,-31.0,True
14,2026-07-20,6,OE9AZH,JN47,47.229,9.625,DL6OW-MH,JO31,51.438,6.875,509.0,2,-10.0,True
14,2026-07-20,6,G8MCD,IO91,51.771,-0.292,DN9DSF,JN59,49.854,11.042,823.0,14,-8.071428571428571,True
14,2026-07-20,6,DJ5MO,JO32,52.438,6.875,VK5ARG,PF95,-34.188,138.625,15720.0,3,-21.666666666666668,True
14,2026-07-20,6,0K6GLQ,RP91,61.479,178.958,W1CK-1,DM13,33.188,-117.292,5435.0,1,-18.0,True
14,2026-07-20,6,W6VYC,CM87,37.479,-123.042,KX4AZ/T,EN74,44.104,-85.458,3219.0,3,-14.0,True
14,2026-07-20,6,K5ZAK,EL09,29.479,-99.042,K3GMQ,FN20,40.312,-75.042,2487.0,3,-9.666666666666666,True
14,2026-07-20,6,KE6VNI,EN72,42.479,-85.042,WA3VPZ,FM19,39.562,-77.125,739.0,12,-19.666666666666668,True
14,2026-07-20,6,HB9CCQ,JN47,47.396,8.458,I0UVN,JN61,41.479,13.125,755.0,3,0.0,True
14,2026-07-20,6,9A3ZI,JN86,46.396,16.458,HB9HXZ,JN47,47.438,8.125,643.0,2,-22.0,True
14,2026-07-20,6,F4MOU,JN33,43.479,6.958,F6KGL,JN18,48.854,2.542,687.0,17,-20.41176470588235,True
14,2026-07-20,6,KC3SDJ,EN90,40.521,-80.208,AC0G,EM38,38.938,-92.125,1033.0,5,-13.6,True
14,2026-07-20,6,G8LIK,IO93,53.479,-1.042,CT7AJC,IN50,40.229,-8.458,1576.0,1,-15.0,True
14,2026-07-20,6,OH6OHX,KP03,63.146,21.625,PE1RZM,JO33,53.312,6.958,1383.0,6,-20.0,True
14,2026-07-20,6,IZ1MHY,JN54,44.104,10.042,HB9VQQ/KE,JN47,47.312,8.875,368.0,1,-10.0,True
14,2026-07-20,6,NF6S,CM97,37.479,-121.042,N8VIM,FN42,42.688,-71.542,4190.0,2,-29.5,True
14,2026-07-20,6,F1JSC,JN03,43.188,0.542,OE6PWD,JN77,47.062,15.458,1245.0,1,-24.0,True
14,2026-07-20,6,DL0T,JN58,48.479,10.958,PB2GT,JO22,52.146,5.458,564.0,2,-19.5,True
14,2026-07-20,6,M6XOF,IO91,51.479,-1.042,K9TRV,EN82,42.354,-83.875,6030.0,2,-26.5,True
14,2026-07-20,6,AE5HO,EM13,33.021,-97.042,WA2TP,FN30,40.854,-73.042,2295.0,4,-18.25,True
14,2026-07-20,6,G0TCD,IO91,51.979,-0.208,LX1LC,JN39,49.646,6.375,530.0,1,8.0,True
14,2026-07-20,6,K5XL,EM12,32.646,-97.125,KD7HGL,CN87,47.771,-122.375,2704.0,3,-15.0,True
14,2026-07-20,6,K7CMI,DN57,47.479,-109.042,VE7YIO,CN89,49.271,-122.958,1045.0,4,-27.0,True
