08, 15,   24.900,  51.1167,   7.2667,   174.73, -13.11,-148.23,   6.24,   0.00,   0.00,   0.00
08, 15,   28.300,  51.1167,   7.2667,   174.73, -12.90,-149.14,   6.85,   0.00,   0.00,   0.00
08, 15,   29.700,  51.1167,   7.2667,   174.73, -12.84,-149.49,   7.06,   0.00,   0.00,   0.00
08, 16,    3.500,  51.1167,   7.2667,   174.73,  19.09, -98.99,  30.46,   0.00,   0.00,   0.00
08, 16,    5.300,  51.1167,   7.2667,   174.73,  26.91, -94.77,  39.03,   0.00,   0.00,   0.00
08, 16,    7.100,  51.1167,   7.2667,   174.73,  21.98,-102.25,  38.70,   0.00,   0.00,   0.00
08, 16,   10.100,  51.1167,   7.2667,   174.73,   5.04,-122.25,  21.98,   0.00,   0.00,   0.00
08, 16,   14.100,  51.1167,   7.2667,   174.73,  -5.24,-135.42,  10.33,   0.00,   0.00,   0.00
08, 16,   18.100,  51.1167,   7.2667,   174.73, -11.07,-143.42,   7.16,   0.00,   0.00,   0.00
08, 16,   21.100,  51.1167,   7.2667,   174.73, -12.69,-146.38,   5.96,   0.00,   0.00,   0.00
08, 16,   24.900,  51.1167,   7.2667,   174.73, -12.96,-148.08,   6.39,   0.00,   0.00,   0.00
08, 16,   28.300,  51.1167,   7.2667,   174.73, -12.78,-149.01,   6.97,   0.00,   0.00,   0.00
08, 16,   29.700,  51.1167,   7.2667,   174.73, -12.72,-149.38,   7.17,   0.00,   0.00,   0.00
08, 17,    3.500,  51.1167,   7.2667,   174.73,  21.42, -96.67,  31.69,   0.00,   0.00,   0.00
08, 17,    5.300,  51.1167,   7.2667,   174.73,  27.80, -93.88,  38.66,   0.00,   0.00,   0.00
08, 17,    7.100,  51.1167,   7.2667,   174.73,  30.97, -93.26,  43.55,   0.00,   0.00,   0.00
08, 17,   10.100,  51.1167,   7.2667,   174.73,   5.75,-121.54,  23.30,   0.00,   0.00,   0.00
08, 17,   14.100,  51.1167,   7.2667,   174.73,  -5.08,-135.27,  11.48,   0.00,   0.00,   0.00
08, 17,   18.100,  51.1167,   7.2667,   174.73, -11.57,-143.92,   6.79,   0.00,   0.00,   0.00
08, 17,   21.100,  51.1167,   7.2667,   174.73, -13.70,-147.38,   5.73,   0.00,   0.00,   0.00
08, 17,   24.900,  51.1167,   7.2667,   174.73, -14.37,-149.49,   4.98,   0.00,   0.00,   0.00
08, 17,   28.300,  51.1167,   7.2667,   174.73, -14.23,-150.46,   5.52,   0.00,   0.00,   0.00
08, 17,   29.700,  51.1167,   7.2667,   174.73, -14.18,-150.84,   5.71,   0.00,   0.00,   0.00
